year,month,day,input - precipitation,input - evaporation,input - seepage,verhard kwel,verhard netto neerslag,verhard afstroming,verhard drainage,verhard storage upper bucket,gedraineerd boven kwel,gedraineerd boven netto neerslag,gedraineerd boven afstroming,gedraineerd boven drainage,gedraineerd boven storage upper bucket,stedelijk kwel,stedelijk netto neerslag,stedelijk afstroming,stedelijk drainage,stedelijk storage upper bucket,landelijk kwel,landelijk netto neerslag,landelijk afstroming,landelijk drainage,landelijk storage upper bucket,summary drained,summary indraft,summary totals,summary flow_off,summary hardened,summary undrained
1996,1,1,0.0,0.0,0.3,365.2389,0.0,0,0,0.0,1109.2395,0.0,0,-1165810.7145,647056.375,0.0,0.0,0,0,0.0,885.0543,0.0,-806284.4673,-20651.267,206512.67,1165810.7145,-0.0,1992746.4488,806284.4673,-0.0,20651.267
1996,1,2,0.0,0.2,0.3,365.2389,-243.4926,0,-36.52389,0.0,1109.2395,-554.61975,0,-324637.427,322973.56775,0.0,-0.0,0,0,0.0,885.0543,-590.0362,0,-4130.2534,202677.4347,324637.427,-0.0,328804.20429,-0.0,-0.0,4166.77729
1996,1,3,0.0,0.3,0.3,365.2389,-365.2389,0,-69.395391,0.0,1109.2395,-831.929625,0,-162596.023375,160654.85425,0.0,-0.0,0,0,0.0,885.0543,-885.0543,0,-4053.548694,198623.886006,162596.023375,-0.0,166718.96746,-0.0,-0.0,4122.944085
1996,1,4,0.0,0.2,0.3,365.2389,-243.4926,0,-98.9797419,0.0,1109.2395,-554.61975,0,-81436.666625,79772.807375,0.0,-0.0,0,0,0.0,885.0543,-590.0362,0,-3972.47772012,194946.426386,81436.666625,-0.0,85508.124087,-0.0,-0.0,4071.45746202
1996,1,5,0.0,0.4,0.3,365.2389,-486.9852,0,-125.60565771,0.0,1109.2395,-1109.2395,0,-40995.6431875,38777.1641875,0.0,-0.0,0,0,0.0,885.0543,-1180.0724,0,-3898.92852772,190752.479758,40995.6431875,-0.0,45020.1773729,-0.0,-0.0,4024.53418543
1996,1,6,1.6,0.2,0.3,365.2389,1704.4482,0,-149.568981939,1704.4482,1109.2395,5361.32425,0,-20497.8215938,24749.9063438,0.0,0.0,0,0,0.0,885.0543,4130.2534,0,-3815.04959516,191952.737863,20497.8215938,-0.0,24462.4401709,-0.0,-0.0,3964.6185771
1996,1,7,2.6,0.2,0.3,365.2389,2921.9112,-2191.4334,-171.135973745,2434.926,1109.2395,9058.78925,0,-13484.1926719,21433.7424219,0.0,0.0,0,0,0.0,885.0543,7080.4344,0,-3839.05475726,196079.171806,13484.1926719,-0.0,19685.8168029,-0.0,2191.4334,4010.19073101
1996,1,8,0.2,0.3,0.3,365.2389,-121.7463,0,-190.546266371,2313.1797,1109.2395,-92.436625,0,-11826.1107109,10624.4345859,0.0,-0.0,0,0,0.0,885.0543,-295.0181,0,-3921.58343611,192747.62457,11826.1107109,-0.0,15938.2404134,-0.0,-0.0,4112.12970249
1996,1,9,0.5,0.1,0.3,365.2389,486.9852,-365.2389,-208.015529734,2434.926,1109.2395,1571.422625,0,-6421.45679297,6883.63991797,0.0,0.0,0,0,0.0,885.0543,1180.0724,0,-3854.95249139,190957.798778,6421.45679297,-0.0,10849.6637141,-0.0,365.2389,4062.96802113
1996,1,10,0.7,0.1,0.3,365.2389,730.4778,-730.4778,-223.73786676,2434.926,1109.2395,2310.915625,0,-4551.05945898,5752.73558398,0.0,0.0,0,0,0.0,885.0543,1770.1086,0,-3819.15597556,189793.805703,4551.05945898,-0.0,9324.43110131,-0.0,730.4778,4042.89384232
1996,1,11,0.2,0.2,0.3,365.2389,0.0,0,-309.192600842,2434.926,1109.2395,184.87325,0,-3985.60729199,3061.24104199,0.0,0.0,0,0,0.0,885.0543,0.0,0,-3795.87611405,186882.983889,3985.60729199,-0.0,8090.67600689,-0.0,-0.0,4105.06871489
1996,1,12,0.0,0.4,0.3,365.2389,-486.9852,0,-365.2389,1947.9408,1109.2395,-1109.2395,0,-2639.860021,421.381020996,0.0,-0.0,0,0,0.0,885.0543,-1180.0724,0,-3737.65967777,182850.306111,2639.860021,-0.0,6742.75859877,-0.0,-0.0,4102.89857777
1996,1,13,0.0,0.4,0.3,365.2389,-486.9852,0,-365.2389,1460.9556,1109.2395,-1109.2395,0,-1319.9300105,-898.548989502,0.0,-0.0,0,0,0.0,885.0543,-1180.0724,0,-3657.00612222,178898.281889,1319.9300105,-0.0,5342.17503271,-0.0,-0.0,4022.24502222
1996,1,14,0.0,0.4,0.3,365.2389,-486.9852,0,-365.2389,973.9704,1109.2395,-369.7465,0,-1109.2395,-1268.2954895,0.0,-0.0,0,0,0.0,885.0543,-1180.0724,0,-3577.96563777,175025.298151,1109.2395,-0.0,5052.44403777,-0.0,-0.0,3943.20453777
1996,1,15,0.0,0.4,0.3,365.2389,-486.9852,0,-365.2389,486.9852,1109.2395,-369.7465,0,-1109.2395,-1638.0419895,0.0,-0.0,0,0,0.0,885.0543,-1180.0724,0,-3500.50596302,171229.774088,1109.2395,-0.0,4974.98436302,-0.0,-0.0,3865.74486302
1996,1,16,0.0,0.4,0.3,365.2389,-486.9852,0,-365.2389,0.0,1109.2395,-369.7465,0,-1109.2395,-2007.7884895,0.0,-0.0,0,0,0.0,885.0543,-1180.0724,0,-3424.59548176,167510.160506,1109.2395,-0.0,4899.07388176,-0.0,-0.0,3789.83438176
