bakje,jaar,maand,dag,berging,afstroming,netto drainage,kwel,netto neerslag
verhard,1996,1,2,0.000000,0.000000,-36.523890,365.238900,-243.492600
verhard,1996,1,3,0.000000,0.000000,-69.395391,365.238900,-365.238900
verhard,1996,1,4,0.000000,0.000000,-98.979742,365.238900,-243.492600
verhard,1996,1,5,0.000000,0.000000,-125.605658,365.238900,-486.985200
verhard,1996,1,6,1704.448200,0.000000,-149.568982,365.238900,1704.448200
verhard,1996,1,7,2434.926000,-2191.433400,-171.135974,365.238900,2921.911200
verhard,1996,1,8,2313.179700,0.000000,-190.546266,365.238900,-121.746300
verhard,1996,1,9,2434.926000,-365.238900,-208.015530,365.238900,486.985200
verhard,1996,1,10,2434.926000,-730.477800,-223.737867,365.238900,730.477800
verhard,1996,1,11,2434.926000,0.000000,-309.192601,365.238900,0.000000
verhard,1996,1,12,1947.940800,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,13,1460.955600,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,14,973.970400,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,15,486.985200,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,16,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,17,0.000000,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,1,18,0.000000,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,1,19,0.000000,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,1,20,0.000000,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,1,21,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,1,22,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,1,23,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,1,24,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,1,25,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,1,26,486.985200,0.000000,-365.238900,365.238900,486.985200
verhard,1996,1,27,243.492600,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,1,28,0.000000,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,1,29,0.000000,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,1,30,0.000000,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,1,31,0.000000,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,2,1,0.000000,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,2,2,0.000000,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,2,3,0.000000,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,2,4,0.000000,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,2,5,0.000000,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,2,6,0.000000,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,2,7,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,2,8,0.000000,0.000000,-365.238900,365.238900,-365.238900
verhard,1996,2,9,852.224100,0.000000,-365.238900,365.238900,852.224100
verhard,1996,2,10,2434.926000,-1095.716700,-365.238900,365.238900,2678.418600
verhard,1996,2,11,2434.926000,-6330.807600,-365.238900,365.238900,6330.807600
verhard,1996,2,12,2434.926000,-17896.706100,-365.238900,365.238900,17896.706100
verhard,1996,2,13,2313.179700,0.000000,-365.238900,365.238900,-121.746300
