code,year,month,day,value
A_0_0_0,1996,1,2,0
A_0_0_0,1996,1,3,0
A_0_0_0,1996,1,4,0
A_0_0_0,1996,1,5,0
A_0_0_0,1996,1,6,1.6
A_0_0_0,1996,1,7,2.6
A_0_0_0,1996,1,8,0.2
A_0_0_0,1996,1,9,0.5
A_0_0_0,1996,1,10,0.7
A_0_0_0,1996,1,11,0.2
A_0_0_0,1996,1,12,0
A_0_0_0,1996,1,13,0
A_0_0_0,1996,1,14,0
A_0_0_0,1996,1,15,0
A_0_0_0,1996,1,16,0
A_0_0_0,1996,1,17,0
A_0_0_0,1996,1,18,0
A_0_0_0,1996,1,19,0
A_0_0_0,1996,1,20,0
A_0_0_0,1996,1,21,0
A_0_0_0,1996,1,22,0
A_0_0_0,1996,1,23,0
A_0_0_0,1996,1,24,0
A_0_0_0,1996,1,25,0.1
A_0_0_0,1996,1,26,0.5
A_0_0_0,1996,1,27,0
A_0_0_0,1996,1,28,0
A_0_0_0,1996,1,29,0
A_0_0_0,1996,1,30,0
A_0_0_0,1996,1,31,0
A_0_0_0,1996,2,1,0
A_0_0_0,1996,2,2,0
A_0_0_0,1996,2,3,0
A_0_0_0,1996,2,4,0
A_0_0_0,1996,2,5,0
A_0_0_0,1996,2,6,0
A_0_0_0,1996,2,7,0
A_0_0_0,1996,2,8,0
A_0_0_0,1996,2,9,1
A_0_0_0,1996,2,10,2.5
A_0_0_0,1996,2,11,5.4
A_0_0_0,1996,2,12,14.9
A_0_0_0,1996,2,13,0
A_0_0_0,1996,2,14,0
A_0_0_0,1996,2,15,0.2
A_0_0_0,1996,2,16,0.4
A_0_0_0,1996,2,17,11.8
A_0_0_0,1996,2,18,4.4
A_0_0_0,1996,2,19,5
A_0_0_0,1996,2,20,0
A_0_0_0,1996,2,21,0
A_0_0_0,1996,2,22,0
A_0_0_0,1996,2,23,0.1
A_0_0_0,1996,2,24,2.3
A_0_0_0,1996,2,25,3.6
A_0_0_0,1996,2,26,0
A_0_0_0,1996,2,27,0.4
A_0_0_0,1996,2,28,0
A_0_0_0,1996,2,29,0.1
A_0_0_0,1996,3,1,0
A_0_0_0,1996,3,2,2.2
A_0_0_0,1996,3,3,0
A_0_0_0,1996,3,4,2.8
A_0_0_0,1996,3,5,0.5
A_0_0_0,1996,3,6,0.6
A_0_0_0,1996,3,7,0
A_0_0_0,1996,3,8,0
A_0_0_0,1996,3,9,0
A_0_0_0,1996,3,10,0
A_0_0_0,1996,3,11,0
A_0_0_0,1996,3,12,0
A_0_0_0,1996,3,13,0
A_0_0_0,1996,3,14,0
A_0_0_0,1996,3,15,0
A_0_0_0,1996,3,16,0
A_0_0_0,1996,3,17,0
A_0_0_0,1996,3,18,0
A_0_0_0,1996,3,19,0
A_0_0_0,1996,3,20,0
A_0_0_0,1996,3,21,1.4
A_0_0_0,1996,3,22,0.2
A_0_0_0,1996,3,23,0.3
A_0_0_0,1996,3,24,0
A_0_0_0,1996,3,25,0
A_0_0_0,1996,3,26,0
A_0_0_0,1996,3,27,0
A_0_0_0,1996,3,28,2.5
A_0_0_0,1996,3,29,0.7
A_0_0_0,1996,3,30,0.9
A_0_0_0,1996,3,31,0.2
A_0_0_0,1996,4,1,0
A_0_0_0,1996,4,2,0
A_0_0_0,1996,4,3,0
A_0_0_0,1996,4,4,0
A_0_0_0,1996,4,5,0
A_0_0_0,1996,4,6,0
A_0_0_0,1996,4,7,0
A_0_0_0,1996,4,8,0
A_0_0_0,1996,4,9,0
A_0_0_0,1996,4,10,8.2
A_0_0_0,1996,4,11,0.6
A_0_0_0,1996,4,12,0
A_0_0_0,1996,4,13,0
A_0_0_0,1996,4,14,0
A_0_0_0,1996,4,15,0
A_0_0_0,1996,4,16,0
A_0_0_0,1996,4,17,0
A_0_0_0,1996,4,18,0
A_0_0_0,1996,4,19,0
A_0_0_0,1996,4,20,0
A_0_0_0,1996,4,21,0
A_0_0_0,1996,4,22,0.1
A_0_0_0,1996,4,23,0
A_0_0_0,1996,4,24,0
A_0_0_0,1996,4,25,0
A_0_0_0,1996,4,26,0
A_0_0_0,1996,4,27,0
A_0_0_0,1996,4,28,0
A_0_0_0,1996,4,29,0
A_0_0_0,1996,4,30,0
A_0_0_0,1996,5,1,0
A_0_0_0,1996,5,2,2.1
A_0_0_0,1996,5,3,5.4
A_0_0_0,1996,5,4,0
A_0_0_0,1996,5,5,0
A_0_0_0,1996,5,6,0
A_0_0_0,1996,5,7,0
A_0_0_0,1996,5,8,0
A_0_0_0,1996,5,9,0.8
A_0_0_0,1996,5,10,0
A_0_0_0,1996,5,11,0
A_0_0_0,1996,5,12,0
A_0_0_0,1996,5,13,0
A_0_0_0,1996,5,14,0
A_0_0_0,1996,5,15,0
A_0_0_0,1996,5,16,7.2
A_0_0_0,1996,5,17,0.3
A_0_0_0,1996,5,18,0.1
A_0_0_0,1996,5,19,0
A_0_0_0,1996,5,20,0
A_0_0_0,1996,5,21,0.5
A_0_0_0,1996,5,22,11
A_0_0_0,1996,5,23,0.8
A_0_0_0,1996,5,24,8.6
A_0_0_0,1996,5,25,0.4
A_0_0_0,1996,5,26,6.9
A_0_0_0,1996,5,27,0.1
A_0_0_0,1996,5,28,0
A_0_0_0,1996,5,29,0
A_0_0_0,1996,5,30,0
A_0_0_0,1996,5,31,0
A_0_0_0,1996,6,1,0
A_0_0_0,1996,6,2,0
A_0_0_0,1996,6,3,0
A_0_0_0,1996,6,4,0
A_0_0_0,1996,6,5,0
A_0_0_0,1996,6,6,0
A_0_0_0,1996,6,7,0
A_0_0_0,1996,6,8,4
A_0_0_0,1996,6,9,0
A_0_0_0,1996,6,10,8.8
A_0_0_0,1996,6,11,0
A_0_0_0,1996,6,12,0
A_0_0_0,1996,6,13,0
A_0_0_0,1996,6,14,0
A_0_0_0,1996,6,15,0
A_0_0_0,1996,6,16,0
A_0_0_0,1996,6,17,0
A_0_0_0,1996,6,18,0
A_0_0_0,1996,6,19,0
A_0_0_0,1996,6,20,0.8
A_0_0_0,1996,6,21,1.4
A_0_0_0,1996,6,22,0.5
A_0_0_0,1996,6,23,0.2
A_0_0_0,1996,6,24,0.3
A_0_0_0,1996,6,25,0
A_0_0_0,1996,6,26,0.5
A_0_0_0,1996,6,27,0
A_0_0_0,1996,6,28,18
A_0_0_0,1996,6,29,4.5
A_0_0_0,1996,6,30,5.3
A_0_0_0,1996,7,1,1.1
A_0_0_0,1996,7,2,0
A_0_0_0,1996,7,3,6.6
A_0_0_0,1996,7,4,0
A_0_0_0,1996,7,5,13.7
A_0_0_0,1996,7,6,7.1
A_0_0_0,1996,7,7,0.8
A_0_0_0,1996,7,8,0
A_0_0_0,1996,7,9,5.3
A_0_0_0,1996,7,10,0
A_0_0_0,1996,7,11,0
A_0_0_0,1996,7,12,0
A_0_0_0,1996,7,13,0
A_0_0_0,1996,7,14,0
A_0_0_0,1996,7,15,0
A_0_0_0,1996,7,16,0
A_0_0_0,1996,7,17,0
A_0_0_0,1996,7,18,0
A_0_0_0,1996,7,19,0
A_0_0_0,1996,7,20,0
A_0_0_0,1996,7,21,0
A_0_0_0,1996,7,22,0
A_0_0_0,1996,7,23,1.4
A_0_0_0,1996,7,24,10.6
A_0_0_0,1996,7,25,0
A_0_0_0,1996,7,26,0
A_0_0_0,1996,7,27,0.6
A_0_0_0,1996,7,28,0
A_0_0_0,1996,7,29,0
A_0_0_0,1996,7,30,0
A_0_0_0,1996,7,31,0.1
A_0_0_0,1996,8,1,0
A_0_0_0,1996,8,2,0
A_0_0_0,1996,8,3,0
A_0_0_0,1996,8,4,0
A_0_0_0,1996,8,5,0
A_0_0_0,1996,8,6,3.3
A_0_0_0,1996,8,7,0
A_0_0_0,1996,8,8,0
A_0_0_0,1996,8,9,0
A_0_0_0,1996,8,10,0.9
A_0_0_0,1996,8,11,5.1
A_0_0_0,1996,8,12,13.7
A_0_0_0,1996,8,13,1
A_0_0_0,1996,8,14,0
A_0_0_0,1996,8,15,0
A_0_0_0,1996,8,16,0
A_0_0_0,1996,8,17,0
A_0_0_0,1996,8,18,0
A_0_0_0,1996,8,19,0
A_0_0_0,1996,8,20,0
A_0_0_0,1996,8,21,1.8
A_0_0_0,1996,8,22,0
A_0_0_0,1996,8,23,3.7
A_0_0_0,1996,8,24,4.7
A_0_0_0,1996,8,25,6.4
A_0_0_0,1996,8,26,0
A_0_0_0,1996,8,27,0.8
A_0_0_0,1996,8,28,13
A_0_0_0,1996,8,29,2.7
A_0_0_0,1996,8,30,2.5
A_0_0_0,1996,8,31,0.6
A_0_0_0,1996,9,1,0
A_0_0_0,1996,9,2,0
A_0_0_0,1996,9,3,0.4
A_0_0_0,1996,9,4,0
A_0_0_0,1996,9,5,0
A_0_0_0,1996,9,6,0
A_0_0_0,1996,9,7,0
A_0_0_0,1996,9,8,0
A_0_0_0,1996,9,9,0
A_0_0_0,1996,9,10,1.4
A_0_0_0,1996,9,11,6.3
A_0_0_0,1996,9,12,2.3
A_0_0_0,1996,9,13,2.4
A_0_0_0,1996,9,14,0.5
A_0_0_0,1996,9,15,0.3
A_0_0_0,1996,9,16,0
A_0_0_0,1996,9,17,0
A_0_0_0,1996,9,18,0
A_0_0_0,1996,9,19,0
A_0_0_0,1996,9,20,0
A_0_0_0,1996,9,21,0
A_0_0_0,1996,9,22,5.5
A_0_0_0,1996,9,23,0
A_0_0_0,1996,9,24,0
A_0_0_0,1996,9,25,1.4
A_0_0_0,1996,9,26,9.3
A_0_0_0,1996,9,27,6.5
A_0_0_0,1996,9,28,2.6
A_0_0_0,1996,9,29,5.6
A_0_0_0,1996,9,30,12.8
A_0_0_0,1996,10,1,0.1
A_0_0_0,1996,10,2,0.1
A_0_0_0,1996,10,3,3
A_0_0_0,1996,10,4,13
A_0_0_0,1996,10,5,0.5
A_0_0_0,1996,10,6,0
A_0_0_0,1996,10,7,0
A_0_0_0,1996,10,8,0
A_0_0_0,1996,10,9,2.6
A_0_0_0,1996,10,10,0
A_0_0_0,1996,10,11,0
A_0_0_0,1996,10,12,0
A_0_0_0,1996,10,13,0
A_0_0_0,1996,10,14,0
A_0_0_0,1996,10,15,0
A_0_0_0,1996,10,16,0
A_0_0_0,1996,10,17,0
A_0_0_0,1996,10,18,3.1
A_0_0_0,1996,10,19,1
A_0_0_0,1996,10,20,15.5
A_0_0_0,1996,10,21,0
A_0_0_0,1996,10,22,0
A_0_0_0,1996,10,23,0
A_0_0_0,1996,10,24,0
A_0_0_0,1996,10,25,0.4
A_0_0_0,1996,10,26,0.1
A_0_0_0,1996,10,27,19.4
A_0_0_0,1996,10,28,12.2
A_0_0_0,1996,10,29,4.7
A_0_0_0,1996,10,30,0
A_0_0_0,1996,10,31,12.6
A_0_0_0,1996,11,1,0
A_0_0_0,1996,11,2,4.5
A_0_0_0,1996,11,3,2
A_0_0_0,1996,11,4,7.9
A_0_0_0,1996,11,5,7.3
A_0_0_0,1996,11,6,1.7
A_0_0_0,1996,11,7,16.7
A_0_0_0,1996,11,8,1.1
A_0_0_0,1996,11,9,2.1
A_0_0_0,1996,11,10,10.1
A_0_0_0,1996,11,11,13.8
A_0_0_0,1996,11,12,1.7
A_0_0_0,1996,11,13,1.3
A_0_0_0,1996,11,14,0
A_0_0_0,1996,11,15,0
A_0_0_0,1996,11,16,0
A_0_0_0,1996,11,17,0.7
A_0_0_0,1996,11,18,3.3
A_0_0_0,1996,11,19,12.6
A_0_0_0,1996,11,20,5.1
A_0_0_0,1996,11,21,4.2
A_0_0_0,1996,11,22,36.6
A_0_0_0,1996,11,23,2.4
A_0_0_0,1996,11,24,7.4
A_0_0_0,1996,11,25,10.2
A_0_0_0,1996,11,26,0
A_0_0_0,1996,11,27,0
A_0_0_0,1996,11,28,5.5
A_0_0_0,1996,11,29,6.5
A_0_0_0,1996,11,30,12.4
A_0_0_0,1996,12,1,3
A_0_0_0,1996,12,2,0.4
A_0_0_0,1996,12,3,8.1
A_0_0_0,1996,12,4,0
A_0_0_0,1996,12,5,0
A_0_0_0,1996,12,6,0.3
A_0_0_0,1996,12,7,0
A_0_0_0,1996,12,8,0
A_0_0_0,1996,12,9,0
A_0_0_0,1996,12,10,0
A_0_0_0,1996,12,11,0
A_0_0_0,1996,12,12,0.4
A_0_0_0,1996,12,13,0.6
A_0_0_0,1996,12,14,0.2
A_0_0_0,1996,12,15,0.1
A_0_0_0,1996,12,16,0
A_0_0_0,1996,12,17,0
A_0_0_0,1996,12,18,9.2
A_0_0_0,1996,12,19,26.7
A_0_0_0,1996,12,20,0
A_0_0_0,1996,12,21,0
A_0_0_0,1996,12,22,0
A_0_0_0,1996,12,23,0
A_0_0_0,1996,12,24,0
A_0_0_0,1996,12,25,0
A_0_0_0,1996,12,26,0
A_0_0_0,1996,12,27,0
A_0_0_0,1996,12,28,0
A_0_0_0,1996,12,29,1.3
A_0_0_0,1996,12,30,0
A_0_0_0,1996,12,31,0
A_0_0_0,1997,1,1,0
A_0_0_0,1997,1,2,0
A_0_0_0,1997,1,3,0
A_0_0_0,1997,1,4,0
A_0_0_0,1997,1,5,0
A_0_0_0,1997,1,6,0
A_0_0_0,1997,1,7,0
A_0_0_0,1997,1,8,0
A_0_0_0,1997,1,9,0
A_0_0_0,1997,1,10,0
A_0_0_0,1997,1,11,0
A_0_0_0,1997,1,12,0
A_0_0_0,1997,1,13,0
A_0_0_0,1997,1,14,0
A_0_0_0,1997,1,15,0
A_0_0_0,1997,1,16,0
A_0_0_0,1997,1,17,0
A_0_0_0,1997,1,18,0.1
A_0_0_0,1997,1,19,3.8
A_0_0_0,1997,1,20,0.2
A_0_0_0,1997,1,21,0
A_0_0_0,1997,1,22,0.2
A_0_0_0,1997,1,23,2.3
A_0_0_0,1997,1,24,0.1
A_0_0_0,1997,1,25,0
A_0_0_0,1997,1,26,0
A_0_0_0,1997,1,27,0.9
A_0_0_0,1997,1,28,0.2
A_0_0_0,1997,1,29,0
A_0_0_0,1997,1,30,0
A_0_0_0,1997,1,31,0.4
A_0_0_0,1997,2,1,0
A_0_0_0,1997,2,2,0.4
A_0_0_0,1997,2,3,0
A_0_0_0,1997,2,4,11.1
A_0_0_0,1997,2,5,0
A_0_0_0,1997,2,6,0
A_0_0_0,1997,2,7,4.9
A_0_0_0,1997,2,8,0
A_0_0_0,1997,2,9,0.2
A_0_0_0,1997,2,10,4.2
A_0_0_0,1997,2,11,7
A_0_0_0,1997,2,12,20.6
A_0_0_0,1997,2,13,4.3
A_0_0_0,1997,2,14,0
A_0_0_0,1997,2,15,0
A_0_0_0,1997,2,16,1.1
